date,day_of_week,month,is_weekday,file_count_AM_actual,file_count_PM_actual,total_records_AM_actual,total_records_PM_actual,file_count_AM_predicted,file_count_PM_predicted,total_records_AM_predicted,total_records_PM_predicted
2020-02-04,1,2,1,3.0,10.0,6677294.0,22201849.0,3.174371897150144,7.137132716435576,6139593.3207226535,15758435.437136466
2020-02-05,2,2,1,7.0,1.0,14364304.0,698604.0,2.9429305948759374,1.0778672125411832,5364644.1094793435,888888.8028608918
2020-02-06,3,2,1,1.0,1.0,2248761.0,54632.0,1.0,1.3063613268375638,543352.6323576345,1171495.795738441
2020-02-07,4,2,1,1.0,1.0,259388.0,6756.0,1.2749818694140576,1.2521256664596547,1646829.3527336866,1281511.7034508972
2020-02-08,5,2,0,1.0,1.0,51082.0,873126.0,1.0762944587401129,1.0,572054.9561929731,873126.0
2020-02-10,0,2,1,2.0,2.0,4596703.0,3136299.0,3.390051919737412,1.8119516432084515,7224968.695645384,2969478.6491892096
2020-02-11,1,2,1,1.0,7.0,1382566.0,16803570.0,3.174371897150144,7.137132716435576,6139593.3207226535,15758435.437136466
2020-02-12,2,2,1,4.0,1.0,9339938.0,2096797.0,2.9429305948759374,1.0778672125411832,5364644.1094793435,888888.8028608918
2020-02-13,3,2,1,1.0,1.0,42507.0,253385.0,1.0,1.3063613268375638,543352.6323576345,1171495.795738441
2020-02-14,4,2,1,1.0,1.0,216427.0,7172.0,1.2749818694140576,1.2521256664596547,1646829.3527336866,1281511.7034508972
2020-02-15,5,2,0,1.0,1.0,206907.0,873126.0,1.0762944587401129,1.0,572054.9561929731,873126.0
2020-02-17,0,2,1,1.0,1.0,2477320.0,2451999.0,3.390051919737412,1.8119516432084515,7224968.695645384,2969478.6491892096
2020-02-18,1,2,1,1.0,7.0,2620445.0,15671992.0,3.174371897150144,7.137132716435576,6139593.3207226535,15758435.437136466
2020-02-19,2,2,1,3.0,1.0,5155450.0,992082.0,2.9429305948759374,1.0778672125411832,5364644.1094793435,888888.8028608918
2020-02-20,3,2,1,1.0,1.0,599081.0,786179.0,1.0,1.3063613268375638,543352.6323576345,1171495.795738441
2020-02-21,4,2,1,5.0,1.0,11156263.0,2304388.0,1.2749818694140576,1.2521256664596547,1646829.3527336866,1281511.7034508972
2020-02-22,5,2,0,1.0,1.0,375232.0,873126.0,1.0762944587401129,1.0,572054.9561929731,873126.0
2020-02-24,0,2,1,2.0,2.0,3433929.0,3547296.0,3.390051919737412,1.8119516432084515,7224968.695645384,2969478.6491892096
2020-02-25,1,2,1,1.0,7.0,953157.0,17023662.0,3.174371897150144,7.137132716435576,6139593.3207226535,15758435.437136466
2020-02-26,2,2,1,4.0,1.0,8219533.0,1854698.0,2.9429305948759374,1.0778672125411832,5364644.1094793435,888888.8028608918
2020-02-27,3,2,1,1.0,1.0,502522.0,127182.0,1.0,1.3063613268375638,543352.6323576345,1171495.795738441
2020-02-28,4,2,1,1.0,1.0,426565.0,7787.0,1.2749818694140576,1.2521256664596547,1646829.3527336866,1281511.7034508972
2020-02-29,5,2,0,1.0,1.0,44909.0,873126.0,1.0762944587401129,1.0,572054.9561929731,873126.0
2020-03-02,0,3,1,1.0,1.0,256092.0,2619821.0,3.1497341765528732,2.149128205292369,6931032.794994012,4146330.836698226
2020-03-03,1,3,1,1.0,8.0,2588412.0,19172699.0,3.325203386757567,6.511290306155696,6556485.267121558,14862373.994127301
2020-03-04,2,3,1,2.0,5.0,3925880.0,10364642.0,2.2212633240746356,1.544879467717098,4033353.2044117083,1842179.9572259826
2020-03-05,3,3,1,1.0,1.0,692435.0,2287965.0,1.0770677974294456,1.1936157318894933,597095.0445054226,1250968.20337026
2020-03-06,4,3,1,1.0,1.0,2136052.0,7028.0,1.2023792746181845,1.3217505292970009,1290788.2105355083,1520954.3631533026
2020-03-07,5,3,0,1.0,1.0,295108.0,873126.0,1.0364325489232404,1.0,472738.03278459946,873126.0
2020-03-09,0,3,1,1.0,2.0,948122.0,3864534.0,3.1497341765528732,2.149128205292369,6931032.794994012,4146330.836698226
2020-03-10,1,3,1,4.0,8.0,6820712.0,18817303.0,3.325203386757567,6.511290306155696,6556485.267121558,14862373.994127301
2020-03-11,2,3,1,4.0,1.0,8435197.0,607860.0,2.2212633240746356,1.544879467717098,4033353.2044117083,1842179.9572259826
2020-03-12,3,3,1,1.0,1.0,164900.0,1416693.0,1.0770677974294456,1.1936157318894933,597095.0445054226,1250968.20337026
2020-03-13,4,3,1,1.0,1.0,245851.0,357204.0,1.2023792746181845,1.3217505292970009,1290788.2105355083,1520954.3631533026
2020-03-14,5,3,0,1.0,1.0,188179.0,873126.0,1.0364325489232404,1.0,472738.03278459946,873126.0
2020-03-16,0,3,1,1.0,3.0,16279.0,7312320.0,3.1497341765528732,2.149128205292369,6931032.794994012,4146330.836698226
2020-03-17,1,3,1,3.0,6.0,5653742.0,15479513.0,3.325203386757567,6.511290306155696,6556485.267121558,14862373.994127301
2020-03-18,2,3,1,3.0,1.0,5381305.0,745923.0,2.2212633240746356,1.544879467717098,4033353.2044117083,1842179.9572259826
2020-03-19,3,3,1,1.0,1.0,656490.0,1061838.0,1.0770677974294456,1.1936157318894933,597095.0445054226,1250968.20337026
2020-03-20,4,3,1,1.0,5.0,1084474.0,10423024.0,1.2023792746181845,1.3217505292970009,1290788.2105355083,1520954.3631533026
2020-03-21,5,3,0,2.0,1.0,3746112.0,873126.0,1.0364325489232404,1.0,472738.03278459946,873126.0
2020-03-23,0,3,1,2.0,1.0,5136393.0,1479623.0,3.1497341765528732,2.149128205292369,6931032.794994012,4146330.836698226
2020-03-24,1,3,1,1.0,6.0,802226.0,14586495.0,3.325203386757567,6.511290306155696,6556485.267121558,14862373.994127301
2020-03-25,2,3,1,6.0,1.0,15250406.0,854229.0,2.2212633240746356,1.544879467717098,4033353.2044117083,1842179.9572259826
2020-03-26,3,3,1,1.0,1.0,421120.0,1216263.0,1.0770677974294456,1.1936157318894933,597095.0445054226,1250968.20337026
